rank	path	liked_count	price	published_at	body_updated_at
116	masayan1126/claude-code-tips-levels	0	300	2026-06-16T11:20:21.980+09:00	2026-06-16T11:20:29.316+09:00
117	masayan1126/ai-driven-dev-claude-code-outcomes	1	300	2026-06-05T22:12:41.009+09:00	2026-06-05T22:12:48.740+09:00
118	saitoo_masaki/chrome-extension-1day	0	1000	2026-05-20T22:43:12.307+09:00	2026-05-20T22:05:18.409+09:00
119	hahahatomoki/cb6ffc945b5994	0	1000	2026-05-20T20:14:34.917+09:00	2026-05-20T13:39:15.626+09:00
120	hiyori_tech/claude-code-jissen	1	2000	2026-05-19T21:56:16.656+09:00	2026-05-19T21:48:17.956+09:00
121	cromeproject/3af2ab18a995a0	0	1400	2026-05-17T19:29:12.227+09:00	2026-05-17T19:26:32.425+09:00
122	masarufuruya/f5000d1e4d5273	3	500	2026-05-17T16:33:03.664+09:00	2026-05-16T17:44:21.217+09:00
123	koichi73/esp32-aircon-with-claude-code	1	0	2026-06-03T20:33:23.396+09:00	2026-06-03T20:31:31.919+09:00
124	hideki_tamae/ai-agent-engineering-guide	1	2000	2026-08-22T12:29:05.880+09:00	2026-09-13T21:28:28.596+09:00
125	shoebill_dev27/claude-code-ops	2	1200	2026-06-12T23:07:52.281+09:00	2026-06-16T01:17:15.002+09:00
126	sktt_panda/claude-code-templates	0	500	2026-05-12T08:41:12.120+09:00	2026-05-04T21:52:17.481+09:00
127	sktt_panda/claude-code-personal-dev	2	300	2026-05-03T09:02:59.148+09:00	2026-05-03T16:37:05.484+09:00
128	tomose_cto/ai-dev-gym-12weeks	1	0	2026-06-11T16:15:54.826+09:00	2026-06-11T15:37:01.283+09:00
129	masayan1126/claude-code-hooks-advanced	3	300	2026-05-22T17:37:23.192+09:00	2026-05-22T17:37:31.576+09:00
130	masayan1126/claude-code-subagents-master	16	300	2026-05-06T16:30:12.822+09:00	2026-05-06T16:30:20.688+09:00
131	masayan1126/claude-code-cost-tips	1	300	2026-05-29T21:50:38.862+09:00	2026-05-29T21:50:43.752+09:00
132	sin9_ha/claude-code-oci	5	1000	2026-05-08T23:39:24.951+09:00	2026-06-28T09:57:54.828+09:00
133	lv/f611cdfe8a6e1a	957	0	2026-02-10T21:38:25.126+09:00	2026-05-29T10:13:53.468+09:00
