rank	path	bestseller	price	liked_count	published_at	suspending
3155	sinofseven/rust-memorandum	False	0	2	2023-03-10T15:56:55.857+09:00	False
3156	hathle/next-supabase-voice-book	False	0	25	2023-03-10T14:24:16.719+09:00	False
3157	tbpgr/820262d373200b	False	0	13	2023-03-08T08:46:46.682+09:00	False
3158	joo_hashi/405b60f671163d	False	0	6	2023-03-07T15:14:05.106+09:00	False
3159	a2ya/301895c78024d5	False	0	1	2023-03-06T11:14:48.856+09:00	False
3160	777kkk/cef001be4406b8	False	0	16	2023-03-06T09:15:41.483+09:00	False
3161	flutteruniv/flutter-api-textbook	False	3000	16	2023-03-06T07:44:33.187+09:00	False
3162	rikutosato/879ca3d7378615	False	500	16	2023-03-04T19:16:30.973+09:00	False
3163	knaka0209/7922ed2c2326b0	False	0	12	2023-03-04T16:10:23.405+09:00	False
3164	urotea/ece9493100b5be	False	0	61	2023-03-04T14:14:01.980+09:00	False
3165	morito/a2243462b4ff6f	False	0	2	2023-03-03T13:09:58.671+09:00	False
3166	isana_citrus/a06de3be2b04ec	False	0	8	2023-03-02T15:33:41.760+09:00	False
3167	suzuki_hoge/2023-03-rust-strings-8868f207b3ed18	False	0	127	2023-03-01T09:28:07.269+09:00	False
3168	hathle/next-supabase-blog2-book	False	0	24	2023-03-01T09:03:36.861+09:00	False
3169	alchemystdudent/227f0358db7ed6	False	0	0	2023-02-28T20:10:30.273+09:00	False
3170	joo_hashi/2c6c47e3d79b63	False	0	181	2023-02-28T03:43:53.929+09:00	False
3171	teamariesdotcom/af56bae422969b	False	800	4	2023-02-28T02:12:53.508+09:00	False
3172	shimajiri/plg-strategy-thinking-with-saas	False	1000	22	2023-02-28T00:46:37.485+09:00	False
3173	koga1020/phoenix-guide-ja-1-7	False	0	39	2023-02-26T21:53:21.960+09:00	False
3174	boson/b83a4a1c0611d0	False	0	3	2023-02-26T18:49:51.598+09:00	False
3175	joo_hashi/a5e2247b85dc0a	False	0	15	2023-02-25T15:19:03.914+09:00	False
3176	joo_hashi/305aad84a0491b	False	0	14	2023-02-25T02:49:57.337+09:00	False
3177	kagaminpower004/98482b7eba7c77	False	0	8	2023-02-23T15:38:13.018+09:00	False
3178	rgbkids/0b75c912d8ac70	False	1100	71	2023-02-22T12:06:04.676+09:00	False
3179	farstep/f74e6b76ea7456	True	1000	113	2023-02-20T12:30:08.459+09:00	False
3180	makunugi/0da7ebac388e01	False	0	196	2023-02-19T17:33:44.896+09:00	False
3181	seelog/easy_deep_learning	False	0	41	2023-02-18T20:53:18.929+09:00	False
3182	hott3/git-cli-trial	False	0	0	2023-02-18T16:55:30.243+09:00	False
3183	to3izo/9328f52bd3cfd3	False	0	9	2023-02-18T14:55:30.558+09:00	False
3184	heyhey1028/flutter-basics	False	0	1084	2023-02-18T05:19:25.721+09:00	False
3185	sosa/3d3fd460fe65dd	False	0	5	2023-02-17T06:28:54.377+09:00	False
3186	postgresweb/c1540c050a411b	False	500	1	2023-02-15T22:28:28.441+09:00	False
3187	num/189e4e9ac5b6bd	False	0	25	2023-02-14T18:42:08.764+09:00	False
